Message,Label,processed_text
Whats upp ac enisteee: -) senin memlekette buldum..,ham,whats upp ac enisteee senin memlekette buldum
"Kampanya, VakifBank Worldcardla 31 Mayisa kadar World uyesi gida,giyim,restoran,beyaz esyada ilk 100 TL sonrasi her 100 TL alisverise 10 TL, maksimum 50 TL Worldpuan. Katilmak icin MAYIS yaz, kartin son 6 hanesini 6635e gonder. ",spam,kampanya vakifbank worldcardla mayisa kadar world uyesi gida giyim restoran beyaz esyada ilk tl sonrasi tl alisverise tl maksimum tl worldpuan katilmak icin mayis yaz kartin son hanesini gonder
I wont. So wat's wit the guys,ham,wont wat wit guy
Bu arada son dakika evi düşürdük,ham,arada son dakika evi düşürdük
No that just means you have a fat head,ham,mean fat head
The battery is for mr adewale my uncle. Aka Egbon,ham,battery mr adewale uncle aka egbon
it to 80488. Your 500 free text messages are valid until 31 December 2005.,spam,free text message valid december
How come guoyang go n tell her? Then u told her?,ham,come guoyang go tell told
"I can. But it will tell quite long, cos i haven't finish my film yet...",ham,tell quite long co finish film yet
Playstation tercih ederim :),ham,playstation tercih ederim
Gam gone after outstanding innings.,ham,gam gone outstanding inning
tmm  tramisu da yapmış bahar bu sefer daha güzel oldu dio :),ham,tmm tramisu yapmış bahar sefer güzel oldu dio
"Selamat pagi pak, untuk data table yg dibutuhkan sudah saya email. Apakah email saya msk Pak?",ham,selamat pagi pak untuk data table yg dibutuhkan sudah saya email apakah email saya msk pak
Yar else i'll thk of all sorts of funny things.,ham,yar else thk sort funny thing
Beylikdüzü'nde yepyeni proje!! MAHAL ISTANBUL RESIDENCE lansman firsatlari ve hemen tapu imkani ile sizleri bekliyor. 02124286565 www.mahalistanbul.com.tr,spam,beylikdüzü nde yepyeni proje mahal istanbul residence lansman firsatlari hemen tapu imkani sizleri bekliyor
DERIMOD'dan BUYUK KIS INDIRIMI! Tum AYAKKABI ve DERI CEKETLERDE %70'e varan indirim sizleri bekliyor. Ustelik World'e ozel 8 taksit firsatiyla. SMS istemiyorsaniz DERIMOD IPTAL yazip 4946'ya gonderebilirsiniz. derimod.com.tr MERSIS NO: 0293000831300010,spam,derimod dan buyuk ki indirimi tum ayakkabi deri ceketlerde varan indirim sizleri bekliyor ustelik world ozel taksit firsatiyla sm istemiyorsaniz derimod iptal yazip gonderebilirsiniz derimod com tr mersis
PHILIPS 40PFK4309 TV 1099 TL BOSCH 3 PROG.BUL.MAK.849 TL MERINOS HALI 179 TL IPHONE 6 CEP.TELEFONU 90 TL TAKSITLE  DEVAMI erdemlermobilya.com.tr,spam,philip pfk tv tl bosch prog bul mak tl merino hali tl iphone cep telefonu tl taksitle devami erdemlermobilya com tr
Dont think so. It turns off like randomlly within 5min of opening,ham,dont think turn like randomlly within min opening
"17-26 Kasim tarihlerinde Cep Subesi'ne giris yaptiniz, arzum.com.tr'den %30 indirim kazandiniz.Keyifli alisverisler. Kodunuz: GR14N305BFB2F9B2538",spam,kasim tarihlerinde cep subesi giris yaptiniz arzum com tr den indirim kazandiniz keyifli alisverisler kodunuz gr bfb
"Bu firsat Kacmaz! Digiturk ayda sadece 5,99tl. Ustelik 5ay HD, 6 ay Yetiskin ve Dizi kanallari Hediye. FIRSAT KODUNUZ BED1802 Hemen arayin 02162350230",spam,firsat kacmaz digiturk ayda sadece tl ustelik ay hd ay yetiskin dizi kanallari hediye firsat kodunuz bed hemen arayin
"Lebih hemat langganan paket Data MINGGUAN. Cuma Rp10.900. Caranya? gampang kok, cukup ketik KUOTA(spasi)10K krm sms ke 363.",spam,lebih hemat langganan paket data mingguan cuma rp caranya gampang kok cukup ketik kuota spasi krm sm ke
S now only i took tablets . Reaction morning only.,ham,took tablet reaction morning
C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ì_ not interested.,ham,movie juz last minute decision mah juz watch lar tot interested
En zor dönem bu dönemdi zaten diyeceğim ama hazırlık mıydı bu dönem yoksa,ham,zor dönem dönemdi zaten diyeceğim hazırlık mıydı dönem yoksa
Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,ham,sorry cant take call right happens waxsto wat want come ill get medical insurance able deliver basic care currently shopping right medical insurance give til friday morning thats see major person guide right insurance
Olur spora da yazılacam,ham,olur spora yazılacam
"Dear, take care. I am just reaching home.love u a lot.",ham,dear take care reaching home love lot
Carlos says he'll be at mu in  &lt;#&gt;  minutes,ham,carlos say lt gt minute
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",spam,sm service inclusive text credit pls goto login qxj unsubscribe stop extra charge help comuk cm ae
